date,Month,Year,type,registration,operator,Fatalities,location,cat,Country,Manufacturer,Military / Commercial
2/25/1975,2,1975,Douglas DC-3A,RP-C941,Philippine Air Lines,0,Manila Airpo...,H2,Philippines,Douglas ,C
2/27/1975,2,1975,Embraer EMB-110C Bandeirante,PP-SBE,VASP,15,near São Paulo-Co...,A1,Brazil,Embraer ,C
2/28/1975,2,1975,Douglas C-47B (DC-3),N87805,private,0,Madrid (unkn...,U1,Spain,Douglas ,C
??-FEB-1975,2,1975,Antonov An-2R,YU-BHW,Privredna Avijacija Osijek,0,Knezevac,A1,Serbia,Antonov ,C
3/1/1975,3,1975,Boeing 737-200,,Iraqi Airways,1,Tehran-Mehra...,H2,Iran,Boeing ,C
3/2/1975,3,1975,DHC-6 Twin Otter,,Air New England,0,Hyannis Airp...,H2,USA,De Havilland Canada,C
3/4/1975,3,1975,Dassault Falcon 20C,N990L,LTV Aerospace,0,Dallas-Hensl...,A1,USA,Dassault ,C
3/4/1975,3,1975,Douglas C-47A (DC-3),2047,Brazilian AF,1,"Peixe, GO",A1,Brazil,Douglas ,M
3/5/1975,3,1975,Fairchild F-27,HK-1492,TAC Colombia,0,Barranquilla...,O1,Colombia,Fairchild ,C
3/7/1975,3,1975,HAL-748,VT-DXO,Indian Airlines,0,Rajkot-Civil...,A2,India,Hindustan Aeronautics,C
3/10/1975,3,1975,Douglas C-47A (DC-3),XU-DAG,Khmer Hansa Airlines,0,Phnom Penh A...,C1,Cambodia,Douglas ,C
3/12/1975,3,1975,Douglas C-54D (DC-4),XV-NUJ,Air Vietnam,26,near Pleiku City,A1,Vietnam,Douglas ,C
